customer_id,churned,period_count,from_calls_Jan,from_duration_Jan,from_dropped_Jan,to_calls_Jan,to_duration_Jan,to_dropped_Jan,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,period,from_calls_Feb,from_duration_Feb,from_dropped_Feb,to_calls_Feb,to_duration_Feb,to_dropped_Feb,from_calls_Mar,from_duration_Mar,from_dropped_Mar,to_calls_Mar,to_duration_Mar,to_dropped_Mar,from_calls_Apr,from_duration_Apr,from_dropped_Apr,to_calls_Apr,to_duration_Apr,to_dropped_Apr,from_calls_May,from_duration_May,from_dropped_May,to_calls_May,to_duration_May,to_dropped_May,from_calls_Jun,from_duration_Jun,from_dropped_Jun,to_calls_Jun,to_duration_Jun,to_dropped_Jun,from_calls_Jul,from_duration_Jul,from_dropped_Jul,to_calls_Jul,to_duration_Jul,to_dropped_Jul,from_calls_Aug,from_duration_Aug,from_dropped_Aug,to_calls_Aug,to_duration_Aug,to_dropped_Aug,from_calls_Sep,from_duration_Sep,from_dropped_Sep,to_calls_Sep,to_duration_Sep,to_dropped_Sep,from_calls_Oct,from_duration_Oct,from_dropped_Oct,to_calls_Oct,to_duration_Oct,to_dropped_Oct,from_calls_Nov,from_duration_Nov,from_dropped_Nov,to_calls_Nov,to_duration_Nov,to_dropped_Nov,from_calls_Dec,from_duration_Dec,from_dropped_Dec,to_calls_Dec,to_duration_Dec,to_dropped_Dec
C0000000457,0,12,131,1391,18,69,712,12,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,106,931,13,84,817,7,129,1212,8,89,867,9,116,981,10,92,913,8,136,1264,19,89,852,11,130,1299,10,75,798,8,144,1190,17,97,886,5,132,1177,11,93,868,11,119,1097,11,76,610,9,105,969,12,123,1117,10,122,1042,13,84,896,6,136,1378,12,57,598,9
C0000000803,0,6,,,,,,,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,995,6,20,182,2,108,1078,16,34,337,2,96,788,4,25,222,6,114,1020,11,34,363,8,107,1086,7,27,305,2
C0000000843,0,11,,,,,,,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,,,,,,,114,1017,18,57,554,6,87,775,16,70,684,3,111,1081,27,48,385,5,99,878,22,54,456,7,88,759,19,48,431,6,115,1157,19,59,586,5,101,953,13,53,475,2,108,944,23,48,419,4,93,873,19,49,466,7,114,1232,17,52,492,4
C0000000313,0,12,88,724,9,63,536,5,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,88,756,11,52,449,8,79,747,5,65,523,4,81,685,10,65,742,10,60,524,4,76,686,8,81,792,8,66,630,4,73,786,8,46,458,5,84,712,6,67,713,6,98,817,12,63,537,7,92,828,12,69,643,5,79,778,9,60,513,8,61,608,6,62,518,7
C0000000687,1,7,25,180,3,31,304,3,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,16,135,6,23,271,2,22,239,3,21,185,2,22,242,5,27,287,1,23,286,4,36,349,4,22,190,5,25,225,2,14,157,1,41,393,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0000000347,1,3,10,96,3,56,534,3,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,14,159,2,43,398,3,13,150,2,55,593,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0000000299,0,3,,,,,,,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,534,0,64,587,7,42,390,0,66,533,6
C0000000166,0,11,,,,,,,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,,,,,,,190,1872,21,46,390,3,159,1590,21,71,580,5,199,1749,37,65,583,8,171,1579,30,50,455,2,193,1781,25,60,437,7,175,1572,22,73,757,7,160,1502,21,56,470,1,167,1474,25,69,597,7,183,1854,25,56,492,6,183,1744,20,63,550,6
C0000000456,0,12,116,1120,26,53,488,5,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,100,838,19,57,483,3,128,1121,27,55,509,5,109,1019,24,58,534,3,145,1429,27,49,438,3,114,1047,25,52,438,9,120,1077,16,57,509,6,109,904,25,62,488,6,111,1063,19,58,627,7,106,997,15,57,469,3,112,1061,24,54,431,9,109,1102,23,74,695,7
C0000000128,0,8,,,,,,,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,,,,,,,,,,,,,,,,,,,,,,,,,47,442,5,94,790,7,63,492,2,94,773,4,56,452,3,75,719,12,57,577,3,76,704,13,61,539,2,93,913,5,66,605,4,82,770,6,64,623,3,78,711,13
C0000000717,0,12,11,78,2,42,323,3,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,8,99,3,49,385,6,15,131,3,66,624,7,9,89,4,49,392,9,11,115,1,60,468,5,11,144,3,51,418,6,10,144,3,69,660,12,11,130,1,42,406,5,14,95,4,46,402,7,13,109,7,62,624,9,16,149,2,60,658,10,9,58,4,44,402,2
C0000000762,1,3,,,,,,,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,,,,,,,,,,,,,,,,,,,,,,,,,59,612,6,22,261,0,48,391,6,24,165,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0000000482,1,4,81,701,13,81,851,8,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,72,783,10,67,663,8,79,746,13,79,815,11,90,832,14,78,826,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0000000866,0,9,,,,,,,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,,,,,,,,,,,,,,,,,,,7,50,1,65,600,2,6,71,2,53,514,5,9,58,2,60,588,8,4,27,1,69,639,7,2,31,0,73,657,4,7,103,0,70,614,6,4,40,1,74,696,7,3,49,1,63,509,6
C0000000254,0,12,7,66,0,20,230,0,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,12,133,0,14,108,0,11,98,0,24,215,3,15,150,0,19,204,2,14,124,0,19,187,3,12,112,0,16,128,2,8,73,0,29,278,5,15,92,0,22,208,1,13,131,0,21,154,2,11,116,0,23,235,2,12,158,0,15,138,0,7,65,0,22,157,1
C0000000169,0,12,168,1495,19,117,1067,18,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,139,1193,18,81,761,13,167,1568,10,96,970,11,168,1453,24,82,721,10,167,1402,13,91,908,10,179,1674,16,116,989,15,179,1742,14,87,757,8,170,1448,9,107,958,15,145,1364,13,100,976,11,169,1597,22,98,761,13,179,1604,23,101,930,13,154,1343,13,118,1082,18
C0000000654,0,6,,,,,,,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,714,15,89,853,4,85,738,15,111,979,7,69,574,12,103,875,7,84,783,10,77,725,4,80,682,6,66,561,7
C0000000403,0,12,74,656,16,47,368,5,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,67,583,6,54,471,4,80,744,11,49,379,3,84,784,14,47,502,3,91,843,13,48,450,5,67,687,11,39,326,7,67,614,6,40,381,3,89,694,16,48,371,7,83,883,12,45,426,3,99,937,12,42,435,4,93,918,13,54,498,5,92,765,11,57,457,9
C0000000335,1,11,6,44,0,53,461,7,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,4,24,0,38,351,3,5,35,0,77,797,10,3,41,0,71,676,6,6,61,0,60,623,4,7,66,0,61,557,6,10,84,0,57,438,3,2,2,0,75,775,5,5,39,0,63,619,15,5,58,0,59,533,5,10,92,0,68,648,5,,,,,,
C0000000579,1,11,116,1147,10,45,406,2,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,104,849,5,28,200,4,106,1034,6,53,449,10,102,909,8,35,305,3,125,1170,16,37,385,3,112,1051,9,50,420,7,122,1259,11,44,484,5,124,1101,21,36,262,4,105,873,8,23,204,0,125,1202,12,47,419,4,122,1201,10,50,463,5,,,,,,
C0000000958,1,4,50,487,9,20,188,3,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,45,461,14,22,184,1,79,787,18,17,146,1,71,698,19,25,206,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0000000860,0,7,,,,,,,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,75,1,76,716,3,9,55,3,101,918,10,11,110,1,78,688,11,6,51,0,105,1124,11,10,105,2,102,950,9,6,49,0,94,959,8
C0000000939,0,6,,,,,,,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,1812,12,65,684,7,147,1470,13,78,780,7,153,1352,15,67,520,7,173,1563,24,82,822,8,177,1595,16,73,721,9
C0000000663,0,12,108,998,14,92,800,9,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,100,869,14,87,813,17,79,718,6,101,932,16,78,786,5,86,844,8,100,1043,10,82,695,9,78,750,6,83,687,8,80,614,2,105,921,6,73,525,11,97,852,12,86,976,12,97,863,8,95,860,13,89,837,9,77,736,7,95,993,15,89,773,8,91,848,11
C0000000407,1,10,31,292,1,29,317,2,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,43,436,7,39,338,3,17,161,1,35,329,2,33,335,5,37,353,1,28,232,2,34,315,1,47,385,8,35,365,1,23,185,1,36,411,3,29,293,3,41,456,2,31,310,5,35,288,0,18,141,1,24,241,1,,,,,,,,,,,,
C0000000071,1,7,,,,,,,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,,,,,,,45,441,7,61,616,2,45,421,7,53,506,9,53,416,6,41,389,5,50,511,5,43,381,4,44,402,6,47,498,3,48,492,7,56,489,6,,,,,,,,,,,,,,,,,,,,,,,,
C0000000489,1,5,11,96,0,74,730,10,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,13,156,1,56,451,11,12,149,1,65,601,10,10,117,0,59,537,10,12,94,0,63,492,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0000000771,1,4,184,1871,43,81,815,7,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,164,1624,40,72,633,10,165,1630,41,80,802,9,163,1607,41,79,773,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0000000601,0,12,10,124,0,54,546,5,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,8,52,1,63,605,9,20,160,0,62,673,5,14,153,1,53,514,9,16,120,0,54,546,8,13,77,0,51,525,6,18,132,1,58,509,5,17,169,0,53,519,7,23,172,0,47,469,7,15,123,4,55,575,6,16,176,3,54,421,7,21,123,0,39,351,5
C0000000588,0,8,,,,,,,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,,,,,,,,,,,,,,,,,,,,,,,,,8,78,1,71,633,4,8,93,0,87,837,6,7,50,0,85,842,8,8,65,0,88,781,9,5,68,1,79,606,7,6,83,0,92,874,9,9,117,0,86,836,8
C0000000246,0,12,77,692,1,41,361,3,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,77,836,5,28,256,3,65,569,1,33,327,2,62,602,2,41,374,6,88,936,5,50,489,4,81,741,2,34,302,4,77,662,2,36,307,3,64,560,5,35,370,3,76,639,4,37,355,6,65,674,1,37,258,5,90,870,7,42,393,3,74,639,5,33,349,4
C0000000730,0,12,137,1274,15,52,500,11,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,106,1068,8,47,444,1,133,1258,13,47,404,4,131,1220,16,34,363,4,127,1230,19,44,345,6,139,1580,15,45,416,4,119,1109,16,39,402,4,122,1022,11,40,449,3,115,1080,18,55,424,5,107,1002,8,57,465,6,121,1137,8,45,404,6,127,1109,24,48,461,7
C0000000509,0,12,95,815,15,86,853,11,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,77,719,7,75,690,6,81,856,14,60,560,10,85,870,14,73,648,13,79,858,13,67,556,11,90,775,9,83,791,11,108,925,20,84,772,9,109,1132,17,85,749,6,83,845,11,70,696,7,83,882,14,74,656,6,64,528,16,70,580,9,79,754,12,61,509,5
C0000000503,1,6,7,62,0,50,477,6,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,6,90,1,32,295,7,6,60,2,37,328,3,6,37,2,46,520,2,10,116,3,38,339,1,4,39,0,51,494,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0000000125,1,3,24,257,3,39,322,2,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,28,283,5,48,442,1,29,328,5,46,342,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0000000149,0,12,151,1521,0,53,447,2,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,134,1272,0,45,477,7,143,1398,0,53,474,5,148,1360,0,72,586,11,142,1171,0,52,327,4,145,1265,0,44,391,4,144,1301,0,54,559,4,162,1618,0,55,506,9,130,1155,0,57,527,3,155,1517,0,65,537,9,124,1266,0,47,369,4,135,1406,0,52,517,5
C0000000295,0,12,68,569,0,98,993,8,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,75,624,0,92,840,9,75,640,0,83,757,7,59,608,0,82,819,8,70,585,0,81,856,8,79,671,0,115,1075,15,85,733,0,105,861,14,67,682,0,96,870,9,65,620,0,83,690,9,69,615,0,108,1003,10,76,652,0,97,817,18,76,546,0,95,850,14
